keys,en,uk,pl,be,kz,ru
"Удивление","Surprise","Здивування","Zdziwienie","Здзіўленне","Таңдану","Удивление"
"Грусть","Sadness","Сум","Smutek","Сум","Мұң","Грусть"
"Злюсь","Angry","Злюся","Złość","Злуюся","Ашулымын","Злюсь"
"Очень злюсь","Very angry","Дуже злюся","Wściekłość","Вельмі злуюся","Қатты ашулымын","Очень злюсь"
"Коварный план","Sneaky plan","Підступний план","Podstępny plan","Падступны план","Қу жоспар","Коварный план"
"Ну ты клоун","What a clown","Ну ти й клоун","Ale z ciebie klaun","Ну ты і клоўн","Нағыз сайқымазақ","Ну ты клоун"
"Рукалицо","Facepalm","Рукалице","Facepalm","Рукатвар","Бетімді бастым","Рукалицо"
"Не знаю","I don't know","Не знаю","Nie wiem","Не ведаю","Білмеймін","Не знаю"
"Одобряю","Thumbs up","Схвалюю","Popieram","Ухваляю","Қолдаймын","Одобряю"
"Не одобряю","Thumbs down","Не схвалюю","Nie popieram","Не ўхваляю","Қолдамаймын","Не одобряю"
"Огонь","Fire","Вогонь","Ogień","Агонь","От","Огонь"
"Средний палец","Middle finger","Середній палець","Środkowy palec","Сярэдні палец","Ортаңғы саусақ","Средний палец"

"Кто сможет увидеть и открыть комнату","Who can see and join the room","Хто може побачити кімнату та приєднатися","Kto może zobaczyć pokój i do niego dołączyć","Хто можа ўбачыць пакой і далучыцца","Бөлмені кім көріп, оған қосыла алады","Кто сможет увидеть и открыть комнату"
"Открытая — видна всем","Public — visible to everyone","Відкрита — видима для всіх","Publiczny — widoczny dla wszystkich","Адкрыты — бачны ўсім","Ашық — барлығына көрінеді","Открытая — видна всем"
"Открытая комната появится в общем списке. Комнату для друзей можно найти через друга или Steam. Комната по приглашению нигде не показывается. Пароль добавим позже, если после тестов он действительно понадобится.","Public rooms appear in the shared list. Friends-only rooms can be found through a friend or Steam. Invite-only rooms are not listed. Passwords may be added later if testing shows they are needed.","Відкрита кімната з’явиться в загальному списку. Кімнату для друзів можна знайти через друга або Steam. Кімнати за запрошенням не відображаються у списках. Паролі додамо пізніше, якщо тестування покаже, що вони потрібні.","Pokoje publiczne pojawiają się na wspólnej liście. Pokoje dla znajomych można znaleźć przez znajomego lub Steam. Pokoje na zaproszenie nie są wyświetlane na listach. Hasła dodamy później, jeśli testy wykażą taką potrzebę.","Адкрыты пакой з’явіцца ў агульным спісе. Пакой для сяброў можна знайсці праз сябра або Steam. Пакоі па запрашэнні не паказваюцца ў спісах. Паролі дададзім пазней, калі тэставанне пакажа, што яны патрэбныя.","Ашық бөлмелер жалпы тізімде көрсетіледі. Достар бөлмесін дос арқылы немесе Steam-нен табуға болады. Шақыру бойынша бөлмелер тізімде көрсетілмейді. Тестілеу қажет екенін көрсетсе, құпиясөздерді кейін қосамыз.","Открытая комната появится в общем списке. Комнату для друзей можно найти через друга или Steam. Комната по приглашению нигде не показывается. Пароль добавим позже, если после тестов он действительно понадобится."
"Название команды хоста","Host's team name","Назва команди хоста","Nazwa drużyny gospodarza","Назва каманды хоста","Хост командасының атауы","Название команды хоста"
"В режиме 2×2 места 1 и 3 играют вместе против мест 2 и 4. Название второй команды задаст первый игрок, который её выберет.","In 2v2 mode, seats 1 and 3 play together against seats 2 and 4. The first player to choose the second team names it.","У режимі 2×2 місця 1 і 3 грають разом проти місць 2 і 4. Назву другої команди задасть перший гравець, який її вибере.","W trybie 2 na 2 miejsca 1 i 3 grają razem przeciw miejscom 2 i 4. Pierwszy gracz, który wybierze drugą drużynę, nada jej nazwę.","У рэжыме 2×2 месцы 1 і 3 гуляюць разам супраць месцаў 2 і 4. Назву другой камандзе дасць першы гулец, які яе выбера.","2×2 режимінде 1 және 3 орындар 2 және 4 орындарға қарсы бірге ойнайды. Екінші команданы бірінші таңдаған ойыншы оған атау береді.","В режиме 2×2 места 1 и 3 играют вместе против мест 2 и 4. Название второй команды задаст первый игрок, который её выберет."
"Ты уже находишься в Steam-комнате.","You are already in a Steam room.","Ви вже в кімнаті Steam.","Jesteś już w pokoju Steam.","Ты ўжо ў пакоі Steam.","Сіз Steam бөлмесіндесіз.","Ты уже находишься в Steam-комнате."
"Вернуться в комнату","Return to room","Повернутися до кімнати","Wróć do pokoju","Вярнуцца ў пакой","Бөлмеге оралу","Вернуться в комнату"
"Текущая Steam-комната","Current Steam room","Поточна кімната Steam","Bieżący pokój Steam","Бягучы пакой Steam","Қазіргі Steam бөлмесі","Текущая Steam-комната"
"Открыть игровой стол","Open game table","Відкрити ігровий стіл","Otwórz stół do gry","Адкрыць гульнявы стол","Ойын үстелін ашу","Открыть игровой стол"
"Незавершённых сетевых партий пока нет.","No unfinished online games yet.","Незавершених мережевих партій поки немає.","Nie ma jeszcze niedokończonych gier online.","Незавершаных сеткавых партый пакуль няма.","Әзірге аяқталмаған желілік ойындар жоқ.","Незавершённых сетевых партий пока нет."
"После входа в комнату она появится здесь автоматически.","Once you join a room, it will appear here automatically.","Після входу до кімнати вона з’явиться тут автоматично.","Po dołączeniu do pokoju pojawi się on tutaj automatycznie.","Пасля ўваходу ў пакой ён з’явіцца тут аўтаматычна.","Бөлмеге кіргеннен кейін ол мұнда автоматты түрде пайда болады.","После входа в комнату она появится здесь автоматически."
"Последняя активная игра","Last active game","Остання активна гра","Ostatnia aktywna gra","Апошняя актыўная гульня","Соңғы белсенді ойын","Последняя активная игра"
"Комната %d сейчас недоступна. Возможно, хост закрыл игру или потерял соединение.","Room %d is currently unavailable. The host may have closed the game or lost connection.","Кімната %d зараз недоступна. Можливо, хост закрив гру або втратив з’єднання.","Pokój %d jest obecnie niedostępny. Gospodarz mógł zamknąć grę lub utracić połączenie.","Пакой %d зараз недаступны. Магчыма, хост закрыў гульню або страціў злучэнне.","%d бөлмесі қазір қолжетімсіз. Хост ойынды жапқан немесе байланысын жоғалтқан болуы мүмкін.","Комната %d сейчас недоступна. Возможно, хост закрыл игру или потерял соединение."
"Комната %d сохранена. Проверяем, продолжает ли хост держать партию…","Room %d saved. Checking whether the host is still running the game…","Кімнату %d збережено. Перевіряємо, чи хост досі підтримує партію…","Pokój %d zapisany. Sprawdzamy, czy gospodarz nadal prowadzi grę…","Пакой %d захаваны. Правяраем, ці хост яшчэ падтрымлівае партыю…","%d бөлмесі сақталды. Хост ойынды әлі жалғастырып жатқанын тексерудеміз…","Комната %d сохранена. Проверяем, продолжает ли хост держать партию…"
"Переподключиться к партии","Reconnect to game","Перепідключитися до партії","Połącz się ponownie z grą","Перадалучыцца да партыі","Ойынға қайта қосылу","Переподключиться к партии"
"Убрать из списка","Remove from list","Прибрати зі списку","Usuń z listy","Прыбраць са спіса","Тізімнен алып тастау","Убрать из списка"
"Возврат возможен, пока хост остаётся в сети. Если хост закрыл игру, первая версия не сможет восстановить матч.","You can return while the host stays online. In this version, the match cannot be restored if the host closes the game.","Повернутися можна, поки хост у мережі. У цій версії матч неможливо відновити, якщо хост закриє гру.","Możesz wrócić, dopóki gospodarz jest online. W tej wersji nie można przywrócić meczu, jeśli gospodarz zamknie grę.","Вярнуцца можна, пакуль хост у сетцы. У гэтай версіі матч немагчыма аднавіць, калі хост закрые гульню.","Хост желіде болғанда қайта оралуға болады. Бұл нұсқада хост ойынды жапса, матчты қалпына келтіру мүмкін емес.","Возврат возможен, пока хост остаётся в сети. Если хост закрыл игру, первая версия не сможет восстановить матч."
"неизвестен","unknown","невідомий","nieznany","невядомы","белгісіз","неизвестен"
"Комната %d · %s · хост: %s · %s · участников %d/%d","Room %d · %s · host: %s · %s · players %d/%d","Кімната %d · %s · хост: %s · %s · гравців %d/%d","Pokój %d · %s · gospodarz: %s · %s · graczy %d/%d","Пакой %d · %s · хост: %s · %s · гульцоў %d/%d","Бөлме %d · %s · хост: %s · %s · ойыншылар %d/%d","Комната %d · %s · хост: %s · %s · участников %d/%d"

"Только для друзей","Friends only","Лише для друзів","Tylko dla znajomych","Толькі для сяброў","Тек достар үшін","Только для друзей"
"По приглашению","Invite only","Лише за запрошенням","Tylko na zaproszenie","Толькі па запрашэнні","Тек шақыру бойынша","По приглашению"

"Сетевая пауза","Online pause","Мережева пауза","Pauza online","Сеткавая паўза","Желілік үзіліс","Сетевая пауза"
"Сетевая раздача продолжается у хоста. Здесь можно безопасно вернуться в комнату или открыть личные настройки.","The online round continues on the host. You can return to the room or open your personal settings here.","Мережева роздача триває у хоста. Тут можна повернутися до кімнати або відкрити особисті налаштування.","Rozdanie online trwa u gospodarza. Tutaj możesz wrócić do pokoju lub otworzyć ustawienia osobiste.","Сеткавая раздача працягваецца ў хоста. Тут можна вярнуцца ў пакой або адкрыць асабістыя налады.","Желілік таратылым хостта жалғасады. Мұнда бөлмеге оралуға немесе жеке баптауларды ашуға болады.","Сетевая раздача продолжается у хоста. Здесь можно безопасно вернуться в комнату или открыть личные настройки."
"Вернуться в Steam-комнату","Return to Steam room","Повернутися до кімнати Steam","Wróć do pokoju Steam","Вярнуцца ў пакой Steam","Steam бөлмесіне оралу","Вернуться в Steam-комнату"
"Расписка и история на столе показывают только публичные данные.","The score sheet and table history show only public information.","Таблиця рахунку та історія столу показують лише загальнодоступні дані.","Tabela wyników i historia stołu pokazują tylko informacje publiczne.","Табліца вынікаў і гісторыя стала паказваюць толькі агульнадаступныя даныя.","Ұпай кестесі мен үстел тарихында тек барлығына ашық ақпарат көрсетіледі.","Расписка и история на столе показывают только публичные данные."
" · команда не выбрана"," · no team selected"," · команду не вибрано"," · nie wybrano drużyny"," · каманда не выбрана"," · команда таңдалмаған"," · команда не выбрана"
" · хост"," · host"," · хост"," · gospodarz"," · хост"," · хост"," · хост"
"… ждём","… waiting","… очікуємо","… oczekiwanie","… чакаем","… күтілуде","… ждём"
"✓ готов","✓ ready","✓ готовий","✓ gotowy","✓ гатовы","✓ дайын","✓ готов"
"%s · мест %d/2","%s · seats %d/2","%s · місць %d/2","%s · miejsc %d/2","%s · месцаў %d/2","%s · орындар %d/2","%s · мест %d/2"
"2×2 · %s против %s","2v2 · %s vs %s","2×2 · %s проти %s","2 na 2 · %s kontra %s","2×2 · %s супраць %s","2×2 · %s қарсы %s","2×2 · %s против %s"
"Бот %d — ✓ готов · %s","Bot %d — ✓ ready · %s","Бот %d — ✓ готовий · %s","Bot %d — ✓ gotowy · %s","Бот %d — ✓ гатовы · %s","Бот %d — ✓ дайын · %s","Бот %d — ✓ готов · %s"
"Бот %d · %s — ✓ готов · %s","Bot %d · %s — ✓ ready · %s","Бот %d · %s — ✓ готовий · %s","Bot %d · %s — ✓ gotowy · %s","Бот %d · %s — ✓ гатовы · %s","Бот %d · %s — ✓ дайын · %s","Бот %d · %s — ✓ готов · %s"
"Готов ✓ (отменить)","Ready ✓ (cancel)","Готовий ✓ (скасувати)","Gotowy ✓ (anuluj)","Гатовы ✓ (скасаваць)","Дайын ✓ (бас тарту)","Готов ✓ (отменить)"
"ещё не подключён","not connected yet","ще не підключено","jeszcze niepołączony","яшчэ не падключаны","әлі қосылмаған","ещё не подключён"
"Заполнить место %d ботом","Fill seat %d with a bot","Заповнити місце %d ботом","Wypełnij miejsce %d botem","Запоўніць месца %d ботам","%d орнына бот қосу","Заполнить место %d ботом"
"Игра приостановлена: ждём переподключения игроков.","Game paused: waiting for players to reconnect.","Гру призупинено: очікуємо перепідключення гравців.","Gra wstrzymana: oczekiwanie na ponowne połączenie graczy.","Гульня прыпыненая: чакаем перадалучэння гульцоў.","Ойын тоқтатылды: ойыншылардың қайта қосылуын күтудеміз.","Игра приостановлена: ждём переподключения игроков."
"Игрок","Player","Гравець","Gracz","Гулец","Ойыншы","Игрок"
"Исключить %s из комнаты","Remove %s from the room","Вилучити %s з кімнати","Usuń %s z pokoju","Выдаліць %s з пакоя","%s ойыншысын бөлмеден шығару","Исключить %s из комнаты"
"классическая игра","classic game","класична гра","gra klasyczna","класічная гульня","классикалық ойын","классическая игра"
"Комната: %d
Режим: %s
Участники: %d из %d
История: %s
Доступ: %s · состояние: %s · протокол %d","Room: %d
Mode: %s
Players: %d of %d
History: %s
Access: %s · state: %s · protocol %d","Кімната: %d
Режим: %s
Учасники: %d з %d
Історія: %s
Доступ: %s · стан: %s · протокол %d","Pokój: %d
Tryb: %s
Gracze: %d z %d
Historia: %s
Dostęp: %s · stan: %s · protokół %d","Пакой: %d
Рэжым: %s
Удзельнікі: %d з %d
Гісторыя: %s
Доступ: %s · стан: %s · пратакол %d","Бөлме: %d
Режим: %s
Ойыншылар: %d / %d
Тарих: %s
Қолжетімділік: %s · күйі: %s · протокол %d","Комната: %d
Режим: %s
Участники: %d из %d
История: %s
Доступ: %s · состояние: %s · протокол %d"
"лёгкий","easy","легкий","łatwy","лёгкі","жеңіл","лёгкий"
"обычный","normal","звичайний","normalny","звычайны","қалыпты","обычный"
"сложный","hard","складний","trudny","складаны","қиын","сложный"
"ожидание","waiting","очікування","oczekiwanie","чаканне","күтілуде","ожидание"
"партия идёт","game in progress","гра триває","gra w toku","гульня ідзе","ойын жүріп жатыр","партия идёт"
"Место %d: игрок отключился. Можно подождать или временно передать место боту.","Seat %d: the player disconnected. You can wait or temporarily assign a bot.","Місце %d: гравець відключився. Можна зачекати або тимчасово передати місце боту.","Miejsce %d: gracz rozłączył się. Możesz poczekać lub tymczasowo przekazać miejsce botowi.","Месца %d: гулец адключыўся. Можна пачакаць або часова перадаць месца боту.","%d орны: ойыншы ажыратылды. Күтуге немесе орынды уақытша ботқа беруге болады.","Место %d: игрок отключился. Можно подождать или временно передать место боту."
"Первый ход определён. Ждём начала первой раздачи.","First turn decided. Waiting for the first round to start.","Перший хід визначено. Очікуємо початку першої роздачі.","Pierwszy ruch ustalony. Oczekiwanie na pierwsze rozdanie.","Першы ход вызначаны. Чакаем пачатку першай раздачы.","Бірінші жүріс анықталды. Алғашқы таратылымның басталуын күтудеміз.","Первый ход определён. Ждём начала первой раздачи."
"Подключаемся к игровому столу…","Connecting to the game table…","Підключення до ігрового столу…","Łączenie ze stołem…","Падключэнне да гульнявога стала…","Ойын үстеліне қосылуда…","Подключаемся к игровому столу…"
"подключён","connected","підключено","połączony","падключаны","қосылған","подключён"
"Свободное место %d","Empty seat %d","Вільне місце %d","Wolne miejsce %d","Вольнае месца %d","Бос орын %d","Свободное место %d"
"Сетевой стол ещё не подключён. Все участники отмечают готовность и нажимают «Подключиться к игровому столу».","The online table is not connected yet. All players must mark themselves ready and select “Connect to game table”.","Мережевий стіл ще не підключено. Усі учасники мають позначити готовність і натиснути «Підключитися до ігрового столу».","Stół online nie jest jeszcze połączony. Wszyscy gracze muszą zaznaczyć gotowość i wybrać „Połącz ze stołem”.","Сеткавы стол яшчэ не падключаны. Усе ўдзельнікі павінны адзначыць гатоўнасць і націснуць «Падключыцца да гульнявога стала».","Желілік үстел әлі қосылмаған. Барлық ойыншылар дайын екенін белгілеп, «Ойын үстеліне қосылу» түймесін басуы керек.","Сетевой стол ещё не подключён. Все участники отмечают готовность и нажимают «Подключиться к игровому столу»."
"Сетевой стол подключён. Раздача %d · %s.","Online table connected. Round %d · %s.","Мережевий стіл підключено. Роздача %d · %s.","Stół online połączony. Rozdanie %d · %s.","Сеткавы стол падключаны. Раздача %d · %s.","Желілік үстел қосылды. Таратылым %d · %s.","Сетевой стол подключён. Раздача %d · %s."
"Стол подключён. Ожидаем остальных игроков.","Table connected. Waiting for the other players.","Стіл підключено. Очікуємо решту гравців.","Stół połączony. Oczekiwanie na pozostałych graczy.","Стол падключаны. Чакаем астатніх гульцоў.","Үстел қосылды. Қалған ойыншыларды күтудеміз.","Стол подключён. Ожидаем остальных игроков."
"Статус Steam-комнаты не получен.","Steam room status is unavailable.","Стан кімнати Steam недоступний.","Stan pokoju Steam jest niedostępny.","Стан пакоя Steam недаступны.","Steam бөлмесінің күйі қолжетімсіз.","Статус Steam-комнаты не получен."
"Убрать ботов","Remove bots","Прибрати ботів","Usuń boty","Прыбраць ботаў","Боттарды алып тастау","Убрать ботов"
"Участники комнаты
%s","Room players
%s","Учасники кімнати
%s","Gracze w pokoju
%s","Удзельнікі пакоя
%s","Бөлмедегі ойыншылар
%s","Участники комнаты
%s"
"Steam: %s
После создания появятся ID комнаты и число участников.","Steam: %s
The room ID and player count will appear after the room is created.","Steam: %s
Після створення з’являться ID кімнати та кількість учасників.","Steam: %s
Po utworzeniu pokoju pojawią się jego ID i liczba graczy.","Steam: %s
Пасля стварэння з’явяцца ID пакоя і колькасць удзельнікаў.","Steam: %s
Бөлме құрылғаннан кейін оның ID нөмірі мен ойыншылар саны көрсетіледі.","Steam: %s
После создания появятся ID комнаты и число участников."
"списку комнат","the room list","списком кімнат","listę pokoi","спісе пакояў","бөлмелер тізімі","списку комнат"
"приглашению Steam","a Steam invitation","запрошенням Steam","zaproszenie Steam","запрашэнні Steam","Steam шақыруы","приглашению Steam"
"%s пригласил тебя в Steam-комнату. Прими приглашение в Steam.","%s invited you to a Steam room. Accept the invitation in Steam.","%s запросив вас до кімнати Steam. Прийміть запрошення у Steam.","%s zaprasza cię do pokoju Steam. Przyjmij zaproszenie w Steam.","%s запрасіў цябе ў пакой Steam. Прымі запрашэнне ў Steam.","%s сізді Steam бөлмесіне шақырды. Шақыруды Steam-де қабылдаңыз.","%s пригласил тебя в Steam-комнату. Прими приглашение в Steam."
"Активной Steam-комнаты нет.","No active Steam room.","Немає активної кімнати Steam.","Brak aktywnego pokoju Steam.","Няма актыўнага пакоя Steam.","Белсенді Steam бөлмесі жоқ.","Активной Steam-комнаты нет."
"Ботов можно добавить только внутри Steam-комнаты.","Join a Steam room before adding bots.","Щоб додати ботів, увійдіть до кімнати Steam.","Dołącz do pokoju Steam, aby dodać boty.","Каб дадаць ботаў, увайдзі ў пакой Steam.","Боттарды қосу үшін Steam бөлмесіне кіріңіз.","Ботов можно добавить только внутри Steam-комнаты."
"Боты убраны из свободных мест.","Bots removed from empty seats.","Ботів прибрано з вільних місць.","Boty usunięte z wolnych miejsc.","Боты прыбраныя з вольных месцаў.","Боттар бос орындардан алынды.","Боты убраны из свободных мест."
"В выбранной команде уже два игрока.","The selected team already has two players.","У вибраній команді вже два гравці.","Wybrana drużyna ma już dwóch graczy.","У выбранай камандзе ўжо два гульцы.","Таңдалған командада екі ойыншы бар.","В выбранной команде уже два игрока."
"Входим в Steam-комнату по %s…","Joining a Steam room via %s…","Входимо до кімнати Steam за %s…","Dołączanie do pokoju Steam przez %s…","Уваходзім у пакой Steam па %s…","Steam бөлмесіне %s арқылы кіруде…","Входим в Steam-комнату по %s…"
"Готовность можно отметить только внутри Steam-комнаты.","Join a Steam room before marking yourself ready.","Щоб позначити готовність, увійдіть до кімнати Steam.","Dołącz do pokoju Steam, aby zaznaczyć gotowość.","Каб адзначыць гатоўнасць, увайдзі ў пакой Steam.","Дайындықты белгілеу үшін Steam бөлмесіне кіріңіз.","Готовность можно отметить только внутри Steam-комнаты."
"Готовность отменена.","Ready status cancelled.","Готовність скасовано.","Gotowość anulowana.","Гатоўнасць скасаваная.","Дайындық белгісі алынды.","Готовность отменена."
"Заполнять свободные места ботами может только хост.","Only the host can fill empty seats with bots.","Лише хост може заповнювати вільні місця ботами.","Tylko gospodarz może wypełniać wolne miejsca botami.","Толькі хост можа запаўняць вольныя месцы ботамі.","Бос орындарға боттарды тек хост қоса алады.","Заполнять свободные места ботами может только хост."
"Игрок исключён из комнаты.","Player removed from the room.","Гравця вилучено з кімнати.","Gracz usunięty z pokoju.","Гулец выдалены з пакоя.","Ойыншы бөлмеден шығарылды.","Игрок исключён из комнаты."
"Исключать игроков можно только до начала партии.","Players can only be removed before the game starts.","Гравців можна вилучати лише до початку гри.","Graczy można usuwać tylko przed rozpoczęciem gry.","Гульцоў можна выдаляць толькі да пачатку гульні.","Ойыншыларды ойын басталғанға дейін ғана шығаруға болады.","Исключать игроков можно только до начала партии."
"Команда выбрана. Подтверди готовность после настройки комнаты.","Team selected. Mark yourself ready after the room is configured.","Команду вибрано. Підтвердьте готовність після налаштування кімнати.","Drużyna wybrana. Potwierdź gotowość po skonfigurowaniu pokoju.","Каманда выбраная. Пацвердзі гатоўнасць пасля наладжвання пакоя.","Команда таңдалды. Бөлме бапталғаннан кейін дайындықты растаңыз.","Команда выбрана. Подтверди готовность после настройки комнаты."
"Комната уже создана.","The room already exists.","Кімнату вже створено.","Pokój już istnieje.","Пакой ужо створаны.","Бөлме бұрыннан құрылған.","Комната уже создана."
"Название команды может менять только её капитан.","Only the team captain can change its name.","Назву команди може змінювати лише її капітан.","Tylko kapitan drużyny może zmienić jej nazwę.","Назву каманды можа мяняць толькі яе капітан.","Команда атауын тек оның капитаны өзгерте алады.","Название команды может менять только её капитан."
"Название команды обновлено.","Team name updated.","Назву команди оновлено.","Nazwa drużyny zaktualizowana.","Назва каманды абноўленая.","Команда атауы жаңартылды.","Название команды обновлено."
"Не удалось войти в Steam-комнату. Код ответа: %d.","Could not join the Steam room. Response code: %d.","Не вдалося увійти до кімнати Steam. Код відповіді: %d.","Nie udało się dołączyć do pokoju Steam. Kod odpowiedzi: %d.","Не ўдалося ўвайсці ў пакой Steam. Код адказу: %d.","Steam бөлмесіне кіру мүмкін болмады. Жауап коды: %d.","Не удалось войти в Steam-комнату. Код ответа: %d."
"Не удалось установить Steam P2P-связь с %s. Код: %d.","Could not establish a Steam P2P connection with %s. Code: %d.","Не вдалося встановити зв’язок Steam P2P з %s. Код: %d.","Nie udało się nawiązać połączenia Steam P2P z %s. Kod: %d.","Не ўдалося ўсталяваць сувязь Steam P2P з %s. Код: %d.","%s ойыншысымен Steam P2P байланысын орнату мүмкін болмады. Код: %d.","Не удалось установить Steam P2P-связь с %s. Код: %d."
"Режим истории матча может менять только хост.","Only the host can change the match history mode.","Лише хост може змінювати режим історії матчу.","Tylko gospodarz może zmienić tryb historii meczu.","Толькі хост можа мяняць рэжым гісторыі матча.","Матч тарихының режимін тек хост өзгерте алады.","Режим истории матча может менять только хост."
"Режим истории матча обновлён.","Match history mode updated.","Режим історії матчу оновлено.","Tryb historii meczu zaktualizowany.","Рэжым гісторыі матча абноўлены.","Матч тарихының режимі жаңартылды.","Режим истории матча обновлён."
"Режим истории можно выбрать только внутри Steam-комнаты.","Join a Steam room before selecting a history mode.","Щоб вибрати режим історії, увійдіть до кімнати Steam.","Dołącz do pokoju Steam, aby wybrać tryb historii.","Каб выбраць рэжым гісторыі, увайдзі ў пакой Steam.","Тарих режимін таңдау үшін Steam бөлмесіне кіріңіз.","Режим истории можно выбрать только внутри Steam-комнаты."
"Свободные места заполнены ботами.","Empty seats filled with bots.","Вільні місця заповнено ботами.","Wolne miejsca wypełnione botami.","Вольныя месцы запоўненыя ботамі.","Бос орындарға боттар қосылды.","Свободные места заполнены ботами."
"Сложность сетевых ботов может менять только хост.","Only the host can change online bot difficulty.","Лише хост може змінювати складність мережевих ботів.","Tylko gospodarz może zmienić trudność botów online.","Толькі хост можа мяняць складанасць сеткавых ботаў.","Желілік боттардың қиындығын тек хост өзгерте алады.","Сложность сетевых ботов может менять только хост."
"Сложность сетевых ботов можно выбрать только внутри Steam-комнаты.","Join a Steam room before selecting online bot difficulty.","Щоб вибрати складність мережевих ботів, увійдіть до кімнати Steam.","Dołącz do pokoju Steam, aby wybrać trudność botów online.","Каб выбраць складанасць сеткавых ботаў, увайдзі ў пакой Steam.","Желілік боттардың қиындығын таңдау үшін Steam бөлмесіне кіріңіз.","Сложность сетевых ботов можно выбрать только внутри Steam-комнаты."
"Сложность сетевых ботов обновлена.","Online bot difficulty updated.","Складність мережевих ботів оновлено.","Trudność botów online zaktualizowana.","Складанасць сеткавых ботаў абноўленая.","Желілік боттардың қиындығы жаңартылды.","Сложность сетевых ботов обновлена."
"Сначала выйди из текущей Steam-комнаты.","Leave your current Steam room first.","Спочатку вийдіть із поточної кімнати Steam.","Najpierw opuść bieżący pokój Steam.","Спачатку выйдзі з бягучага пакоя Steam.","Алдымен қазіргі Steam бөлмесінен шығыңыз.","Сначала выйди из текущей Steam-комнаты."
"Сначала подключи Steam-клиент.","Connect the Steam client first.","Спочатку підключіть клієнт Steam.","Najpierw połącz klienta Steam.","Спачатку падключы кліент Steam.","Алдымен Steam клиентін қосыңыз.","Сначала подключи Steam-клиент."
"Сначала создай или зайди в Steam-комнату.","Create or join a Steam room first.","Спочатку створіть кімнату Steam або увійдіть до неї.","Najpierw utwórz pokój Steam lub do niego dołącz.","Спачатку ствары пакой Steam або ўвайдзі ў яго.","Алдымен Steam бөлмесін құрыңыз немесе оған кіріңіз.","Сначала создай или зайди в Steam-комнату."
"Создаём Steam-комнату «%s» на четыре места…","Creating a four-seat Steam room: %s…","Створюємо кімнату Steam «%s» на чотири місця…","Tworzenie czteroosobowego pokoju Steam: %s…","Ствараем пакой Steam «%s» на чатыры месцы…","Төрт орындық Steam бөлмесі құрылуда: %s…","Создаём Steam-комнату «%s» на четыре места…"
"Состав Steam-комнаты обновлён.","Steam room players updated.","Склад кімнати Steam оновлено.","Lista graczy w pokoju Steam zaktualizowana.","Склад пакоя Steam абноўлены.","Steam бөлмесіндегі ойыншылар тізімі жаңартылды.","Состав Steam-комнаты обновлён."
"Ты вошёл в Steam-комнату. Отметь готовность, когда все соберутся.","You joined the Steam room. Mark yourself ready when everyone has joined.","Ви увійшли до кімнати Steam. Позначте готовність, коли всі зберуться.","Dołączono do pokoju Steam. Zaznacz gotowość, gdy wszyscy się zbiorą.","Ты ўвайшоў у пакой Steam. Адзнач гатоўнасць, калі ўсе збяруцца.","Steam бөлмесіне кірдіңіз. Барлығы жиналғанда дайындықты белгілеңіз.","Ты вошёл в Steam-комнату. Отметь готовность, когда все соберутся."
"Ты вышел из Steam-комнаты.","You left the Steam room.","Ви вийшли з кімнати Steam.","Opuszczono pokój Steam.","Ты выйшаў з пакоя Steam.","Steam бөлмесінен шықтыңыз.","Ты вышел из Steam-комнаты."
"Ты готов к сетевой партии.","You are ready for the online game.","Ви готові до мережевої гри.","Jesteś gotowy do gry online.","Ты гатовы да сеткавай гульні.","Сіз желілік ойынға дайынсыз.","Ты готов к сетевой партии."
"Ты находишься в Steam-комнате. Ожидаем игроков.","You are in the Steam room. Waiting for players.","Ви в кімнаті Steam. Очікуємо гравців.","Jesteś w pokoju Steam. Oczekiwanie na graczy.","Ты ў пакоі Steam. Чакаем гульцоў.","Steam бөлмесіндесіз. Ойыншыларды күтудеміз.","Ты находишься в Steam-комнате. Ожидаем игроков."
"Ты уже находишься в этой Steam-комнате.","You are already in this Steam room.","Ви вже в цій кімнаті Steam.","Jesteś już w tym pokoju Steam.","Ты ўжо ў гэтым пакоі Steam.","Сіз осы Steam бөлмесіндесіз.","Ты уже находишься в этой Steam-комнате."
"Хост исключил тебя из комнаты.","The host removed you from the room.","Хост вилучив вас із кімнати.","Gospodarz usunął cię z pokoju.","Хост выдаліў цябе з пакоя.","Хост сізді бөлмеден шығарды.","Хост исключил тебя из комнаты."
"Хост исключил тебя из этой комнаты.","The host removed you from this room.","Хост вилучив вас із цієї кімнати.","Gospodarz usunął cię z tego pokoju.","Хост выдаліў цябе з гэтага пакоя.","Хост сізді осы бөлмеден шығарды.","Хост исключил тебя из этой комнаты."
"Steam не передал ID комнаты при запуске.","Steam did not provide a room ID at launch.","Steam не передав ID кімнати під час запуску.","Steam nie przekazał ID pokoju przy uruchomieniu.","Steam не перадаў ID пакоя пры запуску.","Іске қосылғанда Steam бөлме ID нөмірін бермеді.","Steam не передал ID комнаты при запуске."
"Steam не создал комнату. Код результата: %d.","Steam could not create the room. Result code: %d.","Steam не зміг створити кімнату. Код результату: %d.","Steam nie utworzył pokoju. Kod wyniku: %d.","Steam не стварыў пакой. Код выніку: %d.","Steam бөлмені құра алмады. Нәтиже коды: %d.","Steam не создал комнату. Код результата: %d."
